Year,Race,Sex,AgeGroup,HispanicOrigin,Population
1900,Nonwhite,Female,10 to 14,NA,557000
1900,Nonwhite,Female,15 to 19,NA,522000
1900,Nonwhite,Female,20 to 24,NA,529000
1900,Nonwhite,Female,25 to 29,NA,391000
1900,Nonwhite,Female,30 to 34,NA,273000
1900,Nonwhite,Female,35 to 39,NA,251000
1900,Nonwhite,Female,40 to 44,NA,197000
1900,Nonwhite,Female,45 to 49,NA,165000
1900,Nonwhite,Female,5 to 9,NA,618000
1900,Nonwhite,Female,50 to 54,NA,142000
1900,Nonwhite,Female,55 to 59,NA,86000
1900,Nonwhite,Female,60 to 64,NA,80000
1900,Nonwhite,Female,65 to 69,NA,50000
1900,Nonwhite,Female,70 to 74,NA,38000
1900,Nonwhite,Female,75 years and over,NA,48000
1900,Nonwhite,Female,Under 5,NA,629000
1900,Nonwhite,Male,10 to 14,NA,564000
1900,Nonwhite,Male,15 to 19,NA,494000
1900,Nonwhite,Male,20 to 24,NA,486000
1900,Nonwhite,Male,25 to 29,NA,386000
1900,Nonwhite,Male,30 to 34,NA,286000
1900,Nonwhite,Male,35 to 39,NA,260000
1900,Nonwhite,Male,40 to 44,NA,205000
1900,Nonwhite,Male,45 to 49,NA,188000
1900,Nonwhite,Male,5 to 9,NA,617000
1900,Nonwhite,Male,50 to 54,NA,171000
1900,Nonwhite,Male,55 to 59,NA,106000
1900,Nonwhite,Male,60 to 64,NA,92000
1900,Nonwhite,Male,65 to 69,NA,60000
1900,Nonwhite,Male,70 to 74,NA,37000
1900,Nonwhite,Male,75 years and over,NA,43000
1900,Nonwhite,Male,Under 5,NA,623000
1900,White,Female,10 to 14,NA,3443000
1900,White,Female,15 to 19,NA,3289000
1900,White,Female,20 to 24,NA,3201000
1900,White,Female,25 to 29,NA,2832000
1900,White,Female,30 to 34,NA,2395000
1900,White,Female,35 to 39,NA,2109000
1900,White,Female,40 to 44,NA,1806000
1900,White,Female,45 to 49,NA,1459000
1900,White,Female,5 to 9,NA,3779000
1900,White,Female,50 to 54,NA,1243000
1900,White,Female,55 to 59,NA,985000
1900,White,Female,60 to 64,NA,799000
1900,White,Female,65 to 69,NA,589000
1900,White,Female,70 to 74,NA,399000
1900,White,Female,75 years and over,NA,410000
1900,White,Female,Under 5,NA,3913000
1900,White,Male,10 to 14,NA,3522000
1900,White,Male,15 to 19,NA,3263000
1900,White,Male,20 to 24,NA,3167000
1900,White,Male,25 to 29,NA,2963000
1900,White,Male,30 to 34,NA,2635000
1900,White,Male,35 to 39,NA,2376000
1900,White,Male,40 to 44,NA,2069000
1900,White,Male,45 to 49,NA,1663000
1900,White,Male,5 to 9,NA,3866000
1900,White,Male,50 to 54,NA,1406000
1900,White,Male,55 to 59,NA,1047000
1900,White,Male,60 to 64,NA,831000
1900,White,Male,65 to 69,NA,613000
1900,White,Male,70 to 74,NA,414000
1900,White,Male,75 years and over,NA,398000
1900,White,Male,Under 5,NA,4016000
1901,Nonwhite,Female,10 to 14,NA,561000
1901,Nonwhite,Female,15 to 19,NA,526000
1901,Nonwhite,Female,20 to 24,NA,536000
1901,Nonwhite,Female,25 to 29,NA,402000
1901,Nonwhite,Female,30 to 34,NA,282000
1901,Nonwhite,Female,35 to 39,NA,257000
1901,Nonwhite,Female,40 to 44,NA,200000
1901,Nonwhite,Female,45 to 49,NA,168000
1901,Nonwhite,Female,5 to 9,NA,624000
1901,Nonwhite,Female,50 to 54,NA,143000
1901,Nonwhite,Female,55 to 59,NA,87000
1901,Nonwhite,Female,60 to 64,NA,81000
1901,Nonwhite,Female,65 to 69,NA,50000
1901,Nonwhite,Female,70 to 74,NA,38000
1901,Nonwhite,Female,75 years and over,NA,49000
1901,Nonwhite,Female,Under 5,NA,635000
1901,Nonwhite,Male,10 to 14,NA,566000
1901,Nonwhite,Male,15 to 19,NA,497000
1901,Nonwhite,Male,20 to 24,NA,493000
1901,Nonwhite,Male,25 to 29,NA,394000
1901,Nonwhite,Male,30 to 34,NA,292000
1901,Nonwhite,Male,35 to 39,NA,265000
1901,Nonwhite,Male,40 to 44,NA,207000
1901,Nonwhite,Male,45 to 49,NA,190000
1901,Nonwhite,Male,5 to 9,NA,622000
1901,Nonwhite,Male,50 to 54,NA,174000
1901,Nonwhite,Male,55 to 59,NA,109000
1901,Nonwhite,Male,60 to 64,NA,96000
1901,Nonwhite,Male,65 to 69,NA,62000
1901,Nonwhite,Male,70 to 74,NA,39000
1901,Nonwhite,Male,75 years and over,NA,44000
1901,Nonwhite,Male,Under 5,NA,628000
1901,White,Female,10 to 14,NA,3487000
1901,White,Female,15 to 19,NA,3349000
1901,White,Female,20 to 24,NA,3269000
1901,White,Female,25 to 29,NA,2894000
1901,White,Female,30 to 34,NA,2446000
1901,White,Female,35 to 39,NA,2166000
1901,White,Female,40 to 44,NA,1849000
1901,White,Female,45 to 49,NA,1495000
1901,White,Female,5 to 9,NA,3822000
1901,White,Female,50 to 54,NA,1277000
1901,White,Female,55 to 59,NA,1007000
1901,White,Female,60 to 64,NA,816000
1901,White,Female,65 to 69,NA,605000
1901,White,Female,70 to 74,NA,408000
1901,White,Female,75 years and over,NA,421000
1901,White,Female,Under 5,NA,3985000
1901,White,Male,10 to 14,NA,3567000
1901,White,Male,15 to 19,NA,3326000
1901,White,Male,20 to 24,NA,3246000
1901,White,Male,25 to 29,NA,3039000
1901,White,Male,30 to 34,NA,2693000
1901,White,Male,35 to 39,NA,2438000
1901,White,Male,40 to 44,NA,2122000
1901,White,Male,45 to 49,NA,1708000
1901,White,Male,5 to 9,NA,3909000
1901,White,Male,50 to 54,NA,1451000
1901,White,Male,55 to 59,NA,1076000
1901,White,Male,60 to 64,NA,850000
1901,White,Male,65 to 69,NA,628000
1901,White,Male,70 to 74,NA,422000
1901,White,Male,75 years and over,NA,408000
1901,White,Male,Under 5,NA,4088000
1902,Nonwhite,Female,10 to 14,NA,564000
1902,Nonwhite,Female,15 to 19,NA,531000
1902,Nonwhite,Female,20 to 24,NA,544000
1902,Nonwhite,Female,25 to 29,NA,410000
1902,Nonwhite,Female,30 to 34,NA,289000
1902,Nonwhite,Female,35 to 39,NA,263000
1902,Nonwhite,Female,40 to 44,NA,203000
1902,Nonwhite,Female,45 to 49,NA,170000
1902,Nonwhite,Female,5 to 9,NA,629000
1902,Nonwhite,Female,50 to 54,NA,146000
1902,Nonwhite,Female,55 to 59,NA,91000
